eez_mrgid,abnj_length_km,sol_length_km,pct_length,PolygonID,GeoName,Pol_type,MRGID_Ter1,Territory1,MRGID_Sov1,Sovereign1,ISO_Ter1,MRGID_Ter2,Territory2,MRGID_Sov2,Sovereign2,ISO_Ter2,MRGID_Ter3,Territory3,MRGID_Sov3,Sovereign3,ISO_Ter3,x_1,y_1,Area_km2,MRGID_EEZ,rmapshaper,rmapshap_1
8403,3708.0064877513,2054.463464445,0.554061453568523,206,Ecuadorian Exclusive Economic Zone (Galapagos),200NM,5660,Galapagos,2166,Ecuador,ECU,0,NA,0,NA,NA,0,NA,0,NA,NA,-90.831742,-0.0418392,841431.77571,8403,267,NA
8404,1002.1760437554,350.757569284901,0.349995962755731,52,Bahamas Exclusive Economic Zone,200NM,2144,Bahamas,2144,Bahamas,BHS,0,NA,0,NA,NA,0,NA,0,NA,NA,-75.5706027,25.1151385,618667.242186,8404,49,NA
8405,300.6461923513,0,0,94,Turks and Caicos Exclusive Economic Zone,200NM,2211,Turks and Caicos Islands,2208,United Kingdom,TCA,0,NA,0,NA,NA,0,NA,0,NA,NA,-70.8535689,22.8098957,91028.3310066,8405,89,NA
8406,50.1040205167001,50.1040205167001,1,99,Cuban Exclusive Economic Zone,200NM,8637,Cuba,8637,Cuba,CUB,0,NA,0,NA,NA,0,NA,0,NA,NA,-81.5304955,21.6000376,352265.987352,8406,94,NA
8409,450.972966735499,0,0,66,Dominican Republic Exclusive Economic Zone,200NM,8640,Dominican Republic,8640,Dominican Republic,DOM,0,NA,0,NA,NA,0,NA,0,NA,NA,-69.6722373,19.1382628,350697.677696,8409,63,NA
8411,300.6314795171,0,0,57,British Virgin Islands Exclusive Economic Zone,200NM,8653,British Virgin Islands,2208,United Kingdom,VGB,0,NA,0,NA,NA,0,NA,0,NA,NA,-64.5049714,20.3898761,81583.1247953,8411,54,NA
8412,350.750212868,0,0,48,Anguilla Exclusive Economic Zone,200NM,8643,Anguilla,2208,United Kingdom,AIA,0,NA,0,NA,NA,0,NA,0,NA,NA,-62.543285,20.0180301,90154.3649636,8412,45,NA
8414,501.0843436693,0,0,49,Antigua and Barbuda Exclusive Economic Zone,200NM,8645,Antigua and Barbuda,8645,Antigua and Barbuda,ATG,0,NA,0,NA,NA,0,NA,0,NA,NA,-60.5706983,18.7327649,111560.086278,8414,46,NA
8418,601.299741119601,501.0843436691,0.833335372365366,53,Barbados Exclusive Economic Zone,200NM,8649,Barbados,8649,Barbados,BRB,0,NA,0,NA,NA,0,NA,0,NA,NA,-57.9936743,13.3232119,185006.191263,8418,50,NA
8424,1252.7108591731,50.1113769336999,0.0400023489592625,63,Costa Rican Exclusive Economic Zone,200NM,2162,Costa Rica,2162,Costa Rica,CRI,0,NA,0,NA,NA,0,NA,0,NA,NA,-86.6607193,6.6212402,567365.437993,8424,60,NA
8425,50.1113769338001,50.1113769338001,1,108,Nicaraguan Exclusive Economic Zone,200NM,2255,Nicaragua,2255,Nicaragua,NIC,0,NA,0,NA,NA,0,NA,0,NA,NA,-83.3105122,12.7195682,228251.857132,8425,103,NA
8426,250.542171834599,150.319417967099,0.599976510406942,128,Colombian Exclusive Economic Zone,200NM,2175,Colombia,2175,Colombia,COL,0,NA,0,NA,NA,0,NA,0,NA,NA,-78.0622198,8.6075439,718163.16433,8426,262,NA
8428,250.527459000499,250.527459000499,1,97,El Salvador Exclusive Economic Zone,200NM,2135,El Salvador,2135,El Salvador,SLV,0,NA,0,NA,NA,0,NA,0,NA,NA,-89.7441085,11.8485871,95098.9801233,8428,92,NA
8429,7015.03368302809,350.757569285001,0.0500008389316234,54,Mexican Exclusive Economic Zone,200NM,2224,Mexico,2224,Mexico,MEX,0,NA,0,NA,NA,0,NA,0,NA,NA,-105.333456,21.3501813,3186924.40663,8429,51,NA
8430,450.965610318401,0,0,67,Guatemalan Exclusive Economic Zone,200NM,2097,Guatemala,2097,Guatemala,GTM,0,NA,0,NA,NA,0,NA,0,NA,NA,-92.0907971,12.5524312,110643.131743,8430,64,NA
8431,601.329166787999,601.329166787999,1,275,Ecuadorian Exclusive Economic Zone,200NM,2166,Ecuador,2166,Ecuador,ECU,0,NA,0,NA,NA,0,NA,0,NA,NA,-82.2086339,-0.9655657,236289.144622,8431,268,NA
8432,3206.9442133335,450.980323152799,0.140626182793502,260,Peruvian Exclusive Economic Zone,200NM,2257,Peru,2257,Peru,PER,0,NA,0,NA,NA,0,NA,0,NA,NA,-78.8830562,-11.904231,855322.284264,8432,243,NA
8435,450.9582539015,0,0,68,Faeroe Exclusive Economic Zone,200NM,3297,Faeroe,2157,Denmark,FRO,0,NA,0,NA,NA,0,NA,0,NA,NA,-6.9814789,62.6049066,264369.642022,8435,65,NA
8437,1302.7854540217,0,0,240,Jan Mayen Exclusive Economic Zone,200NM,5343,Jan Mayen,2252,Norway,SJM,0,NA,0,NA,NA,0,NA,0,NA,NA,-5.2514986,71.1141266,291637.563172,8437,224,NA
8438,4609.7905800474,0,0,227,Greenlandic Exclusive Economic Zone,200NM,2260,Greenland,2157,Denmark,GRL,0,NA,0,NA,NA,0,NA,0,NA,NA,-31.9709635,75.4796503,2270601.239,8438,212,NA
8439,3707.896141496,0,0,6,Pitcairn Islands Exclusive Economic Zone,200NM,2259,Pitcairn,2208,United Kingdom,PCN,0,NA,0,NA,NA,0,NA,0,NA,NA,-127.4213098,-24.6062266,842344.756396,8439,5,NA
8440,10522.5799502105,1403.000851472,0.133332401189685,5,French Polynesian Exclusive Economic Zone,200NM,8656,French Polynesia,17,France,PYF,0,NA,0,NA,NA,0,NA,0,NA,NA,-144.0032729,-18.7363445,4766884.32996,8440,4,NA
8441,4559.8778263737,952.0646668217,0.208791705188918,269,Kiribati Exclusive Economic Zone (Line Islands),200NM,8657,Line Group,2116,Kiribati,KIR,0,NA,0,NA,NA,0,NA,0,NA,NA,-154.7263372,-3.8215449,1640932.58762,8441,260,NA
8442,1302.8075232728,400.8763026358,0.307701863456202,207,Jarvis Island Exclusive Economic Zone,200NM,8668,Jarvis Island,2204,United States,UMI,0,NA,0,NA,NA,0,NA,0,NA,NA,-160.4683857,-0.9139953,323173.119683,8442,195,NA
8443,1854.0032438755,701.493069319,0.378366689290489,82,Palmyra Atoll Exclusive Economic Zone,200NM,8669,Palmyra Atoll,2204,United States,UMI,0,NA,0,NA,NA,0,NA,0,NA,NA,-162.8988068,6.6879383,353739.677389,8443,77,NA
8446,4158.8470389798,0,0,3,Cook Islands Exclusive Economic Zone,200NM,8672,Cook Islands,2227,New Zealand,COK,0,NA,0,NA,NA,0,NA,0,NA,NA,-161.303414,-15.0189071,1969507.12039,8446,2,NA
8447,601.292384702601,0,0,12,Niue Exclusive Economic Zone,200NM,8673,Niue,2227,New Zealand,NIU,0,NA,0,NA,NA,0,NA,0,NA,NA,-169.3313833,-19.5231482,318143.64148,8447,11,NA
8448,1202.5847694052,751.597089835601,0.624984707071702,9,Tongan Exclusive Economic Zone,200NM,8674,Tonga,8674,Tonga,TON,0,NA,0,NA,NA,0,NA,0,NA,NA,-174.7658608,-20.2217487,666078.527932,8448,8,NA
8449,501.091700086403,0,0,248,Tokelau Exclusive Economic Zone,200NM,8675,Tokelau,2227,New Zealand,TKL,0,NA,0,NA,NA,0,NA,0,NA,NA,-172.0849546,-8.6325735,320617.268168,8449,232,NA
8450,2455.3176978294,0,0,208,Kiribati Exclusive Economic Zone (Phoenix Islands),200NM,8658,Phoenix Group,2116,Kiribati,KIR,0,NA,0,NA,NA,0,NA,0,NA,NA,-172.4539652,-3.7318121,745700.775566,8450,259,NA
8451,1954.203928492,0,0,212,Howland and Baker Islands Exclusive Economic Zone,200NM,48684,Howland and Baker islands,2204,United States,UMI,0,NA,0,NA,NA,0,NA,0,NA,NA,-176.7272685,0.791305,434885.338532,8451,199,NA
8452,3206.892718414,1102.3546591208,0.343745412121545,76,Johnston Atoll Exclusive Economic Zone,200NM,8678,Johnston Atoll,2204,United States,UMI,0,NA,0,NA,NA,0,NA,0,NA,NA,-169.5061176,16.7510913,442442.946973,8452,250,NA
8453,8418.0271780834,3958.4456697475,0.470234365606877,229,United States Exclusive Economic Zone (Hawaii),200NM,8679,Hawaii,2204,United States,USA,0,NA,0,NA,NA,0,NA,0,NA,NA,-151.0575273,24.0409883,2474713.60519,8453,214,NA
8454,50.104020516701,0,0,211,Wallis and Futuna Exclusive Economic Zone,200NM,8680,Wallis and Futuna,17,France,WLF,0,NA,0,NA,NA,0,NA,0,NA,NA,-172.7759458,-12.7966355,262750.561412,8454,198,NA
8455,16785.8179201416,11173.8512963389,0.6656721376044,203,New Zealand Exclusive Economic Zone,200NM,2227,New Zealand,2227,New Zealand,NZL,0,NA,0,NA,NA,0,NA,0,NA,NA,71.7216744,-42.7656321,4104579.03432,8455,193,NA
8456,6163.2653342445,5361.5495110582,0.869920280937479,221,United States Exclusive Economic Zone,200NM,2204,United States,2204,United States,USA,0,NA,0,NA,NA,0,NA,0,NA,NA,-95.8160987,34.7593668,2451978.73855,8456,257,NA
8460,250.542171834599,150.326774384099,0.600005872397963,109,Guyanese Exclusive Economic Zone,200NM,2124,Guyana,2124,Guyana,GUY,0,NA,0,NA,NA,0,NA,0,NA,NA,-57.6411085,8.6127134,135053.148853,8460,104,NA
8461,450.9508974843,400.8395205506,0.888876200905123,253,Surinamese Exclusive Economic Zone,200NM,2182,Suriname,2182,Suriname,SUR,0,NA,0,NA,NA,0,NA,0,NA,NA,-54.7761732,7.5881314,133316.418383,8461,236,NA
8462,400.8542333847,350.750212868,0.875006881944003,256,French Guiana Exclusive Economic Zone,200NM,8683,French Guiana,17,France,GUF,0,NA,0,NA,NA,0,NA,0,NA,NA,-51.7545174,6.6912698,131542.056553,8462,239,NA
8463,10321.7298395376,0,0,268,United States Exclusive Economic Zone (Alaska),200NM,8684,Alaska,2204,United States,USA,0,NA,0,NA,NA,0,NA,0,NA,NA,-119.9765994,59.0116993,3682949.91893,8463,258,NA
8464,10372.4297298356,6163.2579778276,0.594196166024572,205,Brazilian Exclusive Economic Zone,200NM,2143,Brazil,2143,Brazil,BRA,0,NA,0,NA,NA,0,NA,0,NA,NA,-39.4442326,-11.0979858,3205100.30771,8464,255,NA
