WDPAID,WDPA_PID,PA_DEF,NAME,ORIG_NAME,DESIG,DESIG_ENG,DESIG_TYPE,IUCN_CAT,INT_CRIT,MARINE,REP_M_AREA,GIS_M_AREA,REP_AREA,GIS_AREA,NO_TAKE,NO_TK_AREA,STATUS,STATUS_YR,GOV_TYPE,OWN_TYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,SUB_LOC,PARENT_ISO,ISO3,FID,one,l_hs_km2,rmpshpr,are_km2,l_s_km2,l_s_pct
555586980,555586980,1,Offshore,Offshore,Trap/Pot Waters,Trap/Pot Waters,National,IV,Not Applicable,2,335998,335997.737798,336101,335997.737809,Not Reported,0,Designated,1997,Federal or national ministry or agency,State,National Oceanic and Atmospheric Administration,Non-MPA Programmatic Species Management Plan,State Verified,1848,US-N/A,USA,USA,0,1,17.08441437305057,0,5200136.424267548,13.2271173126231,0.774221288702054
555587005,555587005,1,Other Northeast,Other Northeast,Gillnet Waters Area,Gillnet Waters Area,National,IV,Not Applicable,2,279993,280422.133629,280597,280422.133634,Not Reported,0,Designated,1997,Federal or national ministry or agency,State,National Oceanic and Atmospheric Administration,Non-MPA Programmatic Species Management Plan,State Verified,1848,US-N/A,USA,USA,0,1,12.100574858790635,0,5200136.424267548,9.12200711629069,0.753849071035156
555624301,555624301,1,Northeast Canyons and Seamounts Marine National Monument,Northeast Canyons and Seamounts Marine National Monument,Marine National Monument,Marine National Monument,National,Not Reported,Not Applicable,2,12724,12716.4556353,12724,12716.4556341,All,12724,Designated,2016,Federal or national ministry or agency,State,National Oceanic and Atmospheric Administration,Not Reported,State Verified,1895,US-N/A,USA,USA,0,1,0.316626867052078,0,5200136.424267548,0.190724628305453,0.602364006823473
555545793,555545793,1,Monte Submarino Antialtair,Monte Submarino Antialtair,Área Protegida para a Gestão de Habitats ou Espécies,Habitats or Species Management Protected Area,National,IV,Not Applicable,2,0,0,2855.4324,2808.15152946017,Not Reported,0,Designated,2011,Federal or national ministry or agency,Not Reported,"Secretaria Regional do Ambiente e do Mar, http://portal.sram.azores.gov.pt/default.asp?cat=28",Not Reported,State Verified,1839,Not Reported,PRT,PRT,0,1,2807.193450283266,0,5200136.424267548,2807.19345028327,1
555514089,555514089,1,Campos Hidrotermais a Sudoeste dos Açores,Campos Hidrotermais a Sudoeste dos Açores,Área Protegida de Gestão de Recursos,Resource Management Protected Area,National,VI,Not Applicable,2,0,8615.41053419331,11617.0408,11057.801569441,Not Reported,0,Designated,2016,Federal or national ministry or agency,Not Reported,"Secretaria Regional do Ambiente e do Mar, http://portal.sram.azores.gov.pt/default.asp?cat=28",Not Reported,State Verified,1839,Not Reported,PRT,PRT,0,1,2434.258901825785,0,5200136.424267548,2429.86987111985,0.998196974568876
555545768,555545768,1,Campo Hidrotermal Rainbow,Campo Hidrotermal Rainbow,Reserva Natural,Nature Reserve,National,Ib,Not Applicable,2,0,0,22.1531,22.212433701503,Not Reported,0,Designated,2011,Federal or national ministry or agency,Not Reported,"Instituto da Conservação da Natureza e das Florestas, http://www.icnf.pt/portal",Not Reported,State Verified,1839,Not Reported,PRT,PRT,0,1,22.167304909210966,0,5200136.424267548,22.167304909211,1
555545792,555545792,1,Monte Submarino Altair,Monte Submarino Altair,Área Protegida para a Gestão de Habitats ou Espécies,Habitats or Species Management Protected Area,National,IV,Not Applicable,2,0,0,4380.899,4384.19074174865,Not Reported,0,Designated,2011,Federal or national ministry or agency,Not Reported,"Secretaria Regional do Ambiente e do Mar, http://portal.sram.azores.gov.pt/default.asp?cat=28",Not Reported,State Verified,1839,Not Reported,PRT,PRT,0,1,4383.71063584143,0,5200136.424267548,4383.71063584143,1
555545790,555545790,1,MARNA (Mid-Atlantic Ridge North of the Azores),MARNA (Mid-Atlantic Ridge North of the Azores),Área Protegida para a Gestão de Habitats ou Espécies,Habitats or Species Management Protected Area,National,IV,Not Applicable,2,0,0,93794.9703,93590.427224672,Not Reported,0,Designated,2011,Federal or national ministry or agency,Not Reported,"Secretaria Regional do Ambiente e do Mar, http://portal.sram.azores.gov.pt/default.asp?cat=28",Not Reported,State Verified,1839,Not Reported,PRT,PRT,0,1,93512.71082201073,0,5200136.424267548,88291.2282147554,0.944162856991775
555514087,555514087,1,Arquipélago Submarino do Meteor,Arquipélago Submarino do Meteor,Área Protegida de Gestão de Recursos,Resource Management Protected Area,National,VI,Not Applicable,2,0,13670.6717537002,123237.7074,123661.124558382,Not Reported,0,Designated,2016,Federal or national ministry or agency,Not Reported,"Secretaria Regional do Ambiente e do Mar, http://portal.sram.azores.gov.pt/default.asp?cat=28",Not Reported,State Verified,1839,Not Reported,PRT,PRT,0,1,109566.2601489855,0,5200136.424267548,108501.723743147,0.990284085589931
220201,220201,1,Papah?naumoku?kea Marine National Monument,Papah?naumoku?kea Marine National Monument,Marine National Monument,Marine National Monument,National,Ia,Not Applicable,2,1508870,1516556.96666,1508870,1516555.34286,All,1508870,Designated,2006,Collaborative governance,Multiple ownership,State Department of Natural Resources,Site-Specific Management Plan,State Verified,1895,US-N/A;US-HI,USA,USA,0,1,2.497299208576867,0,2445833.2481322545,0.0362610309829712,0.0145200986963974
